Fecha,Categoría,Ventas,Cantidad,Región,Mes
2024-01-01,Juguetes,439484,63,Sur,2024-01
2024-01-02,Deportes,493702,12,Centro,2024-01
2024-01-03,Hogar,241496,13,Norte,2024-01
2024-01-04,Deportes,177860,43,Centro,2024-01
2024-01-05,Deportes,216821,17,Centro,2024-01
2024-01-06,Ropa,202121,63,Centro,2024-01
2024-01-07,Hogar,334637,81,Centro,2024-01
2024-01-08,Hogar,46027,36,Centro,2024-01
2024-01-09,Hogar,365691,85,Centro,2024-01
2024-01-10,Deportes,183921,8,Centro,2024-01
2024-01-11,Juguetes,372271,69,Sur,2024-01
2024-01-12,Hogar,158930,90,Sur,2024-01
2024-01-13,Deportes,225234,80,Centro,2024-01
2024-01-14,Ropa,89003,36,Centro,2024-01
2024-01-15,Juguetes,193467,28,Sur,2024-01
2024-01-16,Ropa,49758,93,Sur,2024-01
2024-01-17,Juguetes,326456,47,Sur,2024-01
2024-01-18,Deportes,340814,76,Centro,2024-01
2024-01-19,Electrónica,92279,30,Norte,2024-01
2024-01-20,Juguetes,25434,23,Norte,2024-01
2024-01-21,Ropa,205119,16,Norte,2024-01
2024-01-22,Deportes,450991,14,Norte,2024-01
2024-01-23,Juguetes,347913,74,Centro,2024-01
2024-01-24,Electrónica,255754,71,Norte,2024-01
2024-01-25,Electrónica,338821,52,Sur,2024-01
2024-01-26,Hogar,93555,37,Sur,2024-01
2024-01-27,Hogar,138379,29,Norte,2024-01
2024-01-28,Ropa,226992,67,Sur,2024-01
2024-01-29,Juguetes,249511,15,Centro,2024-01
2024-01-30,Juguetes,186806,47,Norte,2024-01
2024-01-31,Hogar,373809,46,Norte,2024-01
2024-02-01,Juguetes,491719,52,Centro,2024-02
2024-02-02,Juguetes,443819,19,Sur,2024-02
2024-02-03,Electrónica,479924,77,Centro,2024-02
2024-02-04,Hogar,485142,21,Centro,2024-02
2024-02-05,Deportes,78803,64,Sur,2024-02
2024-02-06,Hogar,442548,37,Centro,2024-02
2024-02-07,Deportes,363847,27,Sur,2024-02
2024-02-08,Electrónica,293456,55,Sur,2024-02
2024-02-09,Ropa,234448,29,Centro,2024-02
2024-02-10,Juguetes,487742,20,Sur,2024-02
2024-02-11,Electrónica,185251,25,Centro,2024-02
2024-02-12,Juguetes,212514,70,Sur,2024-02
2024-02-13,Ropa,255404,63,Norte,2024-02
2024-02-14,Ropa,127961,36,Sur,2024-02
2024-02-15,Electrónica,312523,2,Sur,2024-02
2024-02-16,Ropa,27297,22,Centro,2024-02
2024-02-17,Deportes,274155,96,Sur,2024-02
2024-02-18,Ropa,130234,16,Norte,2024-02
2024-02-19,Juguetes,54014,18,Norte,2024-02
2024-02-20,Juguetes,253166,69,Sur,2024-02
2024-02-21,Juguetes,414954,54,Sur,2024-02
2024-02-22,Juguetes,366477,30,Norte,2024-02
2024-02-23,Deportes,188570,45,Centro,2024-02
2024-02-24,Hogar,268864,19,Norte,2024-02
2024-02-25,Electrónica,283264,87,Norte,2024-02
2024-02-26,Juguetes,411983,34,Sur,2024-02
2024-02-27,Ropa,294996,13,Sur,2024-02
2024-02-28,Juguetes,351383,43,Norte,2024-02
2024-02-29,Ropa,404145,62,Centro,2024-02
2024-03-01,Ropa,218559,93,Norte,2024-03
2024-03-02,Juguetes,101575,22,Norte,2024-03
2024-03-03,Deportes,105040,52,Centro,2024-03
2024-03-04,Ropa,158510,52,Norte,2024-03
2024-03-05,Ropa,189587,36,Norte,2024-03
2024-03-06,Juguetes,15744,73,Sur,2024-03
2024-03-07,Ropa,224892,19,Centro,2024-03
2024-03-08,Ropa,445633,38,Sur,2024-03
2024-03-09,Juguetes,410285,70,Sur,2024-03
2024-03-10,Juguetes,314503,79,Centro,2024-03
2024-03-11,Electrónica,160871,57,Centro,2024-03
2024-03-12,Deportes,370890,20,Norte,2024-03
2024-03-13,Deportes,234834,9,Sur,2024-03
2024-03-14,Ropa,130906,32,Centro,2024-03
2024-03-15,Deportes,211260,4,Sur,2024-03
2024-03-16,Ropa,230931,50,Sur,2024-03
2024-03-17,Electrónica,263593,82,Centro,2024-03
2024-03-18,Juguetes,248746,5,Norte,2024-03
2024-03-19,Juguetes,17597,20,Sur,2024-03
2024-03-20,Juguetes,319237,87,Centro,2024-03
2024-03-21,Deportes,440442,75,Norte,2024-03
2024-03-22,Electrónica,213199,37,Sur,2024-03
2024-03-23,Deportes,386794,22,Centro,2024-03
2024-03-24,Deportes,494585,58,Sur,2024-03
2024-03-25,Electrónica,218434,68,Centro,2024-03
2024-03-26,Electrónica,167489,93,Centro,2024-03
2024-03-27,Electrónica,421909,44,Sur,2024-03
2024-03-28,Electrónica,482890,34,Sur,2024-03
2024-03-29,Juguetes,393100,77,Centro,2024-03
2024-03-30,Hogar,125598,42,Norte,2024-03
2024-03-31,Hogar,260100,9,Sur,2024-03
2024-04-01,Electrónica,268589,95,Centro,2024-04
2024-04-02,Hogar,194233,7,Centro,2024-04
2024-04-03,Hogar,262388,68,Norte,2024-04
2024-04-04,Electrónica,143241,19,Norte,2024-04
2024-04-05,Hogar,225164,94,Norte,2024-04
2024-04-06,Deportes,163124,31,Sur,2024-04
2024-04-07,Ropa,475065,35,Centro,2024-04
2024-04-08,Ropa,214923,57,Centro,2024-04
2024-04-09,Electrónica,18036,85,Centro,2024-04
2024-04-10,Juguetes,41778,61,Norte,2024-04
2024-04-11,Electrónica,430950,31,Centro,2024-04
2024-04-12,Juguetes,164245,83,Sur,2024-04
2024-04-13,Ropa,171475,95,Norte,2024-04
2024-04-14,Electrónica,469537,53,Norte,2024-04
2024-04-15,Deportes,212747,32,Norte,2024-04
2024-04-16,Hogar,409560,66,Norte,2024-04
2024-04-17,Juguetes,28800,59,Sur,2024-04
2024-04-18,Hogar,297516,10,Centro,2024-04
2024-04-19,Hogar,333660,2,Sur,2024-04
2024-04-20,Electrónica,292682,66,Centro,2024-04
2024-04-21,Hogar,336062,60,Sur,2024-04
2024-04-22,Deportes,418189,88,Norte,2024-04
2024-04-23,Hogar,343299,17,Norte,2024-04
2024-04-24,Electrónica,241312,96,Sur,2024-04
2024-04-25,Deportes,69500,16,Sur,2024-04
2024-04-26,Ropa,177647,16,Centro,2024-04
2024-04-27,Hogar,246527,46,Sur,2024-04
2024-04-28,Electrónica,445477,39,Sur,2024-04
2024-04-29,Ropa,120659,31,Centro,2024-04
2024-04-30,Ropa,37716,88,Centro,2024-04
2024-05-01,Juguetes,406452,1,Centro,2024-05
2024-05-02,Deportes,419064,11,Sur,2024-05
2024-05-03,Hogar,12352,85,Centro,2024-05
2024-05-04,Electrónica,143004,4,Norte,2024-05
2024-05-05,Juguetes,348593,71,Norte,2024-05
2024-05-06,Deportes,18556,26,Norte,2024-05
2024-05-07,Juguetes,271973,50,Sur,2024-05
2024-05-08,Deportes,358980,12,Norte,2024-05
2024-05-09,Deportes,146570,95,Sur,2024-05
2024-05-10,Hogar,217190,81,Sur,2024-05
2024-05-11,Deportes,60098,97,Norte,2024-05
2024-05-12,Juguetes,467602,75,Centro,2024-05
2024-05-13,Deportes,384313,92,Sur,2024-05
2024-05-14,Hogar,150641,96,Norte,2024-05
2024-05-15,Hogar,257199,65,Sur,2024-05
2024-05-16,Juguetes,136060,47,Centro,2024-05
2024-05-17,Ropa,197954,92,Centro,2024-05
2024-05-18,Ropa,211465,53,Norte,2024-05
2024-05-19,Deportes,140544,71,Sur,2024-05
2024-05-20,Electrónica,10340,2,Sur,2024-05
2024-05-21,Deportes,185021,24,Sur,2024-05
2024-05-22,Juguetes,92302,4,Sur,2024-05
2024-05-23,Juguetes,465659,19,Norte,2024-05
2024-05-24,Juguetes,232740,26,Centro,2024-05
2024-05-25,Juguetes,477243,75,Norte,2024-05
